iter	RMSE
0	1162.299855
1	1096.438881
2	1031.864896
3	992.8462869
4	960.337375
5	928.2834377
6	885.8381662
7	846.1127266
8	814.7292056
9	794.1053578
10	775.8995635
11	760.04232
12	742.5751608
13	729.7496468
14	718.8006299
15	702.8438119
16	695.363042
17	683.1733368
18	672.9971541
19	666.9628481
20	662.473557
21	657.7277569
22	654.9385088
23	652.8174844
24	646.5686412
25	643.7864396
26	639.4227552
27	636.8957014
28	635.3005425
29	633.5286972
30	629.5060436
31	627.7157197
32	625.8204034
33	624.6335855
34	624.0478104
35	622.9055594
36	621.794192
37	621.02851
38	619.5024679
39	618.8268367
40	617.3801664
41	615.2686547
42	613.9846693
43	613.0790457
44	611.986147
45	608.565813
46	605.6734462
47	603.4260377
48	602.5662011
49	601.2197249
50	599.4184529
51	598.4489065
52	597.5262416
53	596.2459762
54	594.5974265
55	593.2716936
56	592.2870699
57	590.1629798
58	589.8150438
59	589.2046622
60	587.1283992
61	586.469844
62	585.3111082
63	584.8543655
64	583.6139642
65	583.0012917
66	581.3533244
67	580.403177
68	578.5324524
69	577.1464413
70	576.2969717
71	574.8516737
72	573.8139989
73	572.972685
74	571.9419811
75	569.8888568
76	568.738656
77	567.9443068
78	567.746531
79	567.090118
80	565.9286148
81	564.7719095
82	563.7761162
83	562.2491812
84	561.0440742
85	560.0423156
86	558.8018408
87	557.9891113
88	556.6190766
89	556.0917975
90	554.9880064
91	554.1081896
92	553.2733594
93	552.8936829
94	552.210724
95	551.6556045
96	550.1869064
97	548.961063
98	548.5964515
99	547.8512582
