iter	Passed	Remaining
0	0	37
1	1	53
2	1	50
3	1	45
4	2	42
5	2	40
6	2	39
7	3	38
8	3	37
9	4	36
10	4	35
11	4	34
12	5	33
13	5	33
14	5	32
15	5	31
16	6	30
17	6	30
18	6	29
19	7	28
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	25
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	12	20
39	13	19
40	13	19
41	13	19
42	14	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	18	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	6
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	27	5
84	27	4
85	28	4
86	28	4
87	29	4
88	29	3
89	30	3
90	30	3
91	31	2
92	31	2
93	31	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
